FECHA,positivos,nue_posi,conf_lab,conf_nexo,muj_posi,hom_posi,extranj_posi,costar_posi,investig_posi,adul_posi,am_posi,menor_posi,eda_ignor_posi,edmin_posi,edmax_posi,promedio_posi,descartados,nue_descar,fallecidos,nue_falleci,muj_fall,hom_fall,emin_fall,emax_fall,promedio_fall,adul_fall,am_fall,menor_fall,hospital,nue_hospi,salon,nue_salon,UCI,nue_UCI,emin_UCI,emax_UCI,promedio_UCI,RECUPERADOS,NUE_RECUP,MUJ_RECUP,HOM_RECUP,ADUL_RECUP,AM_RECUP,MENOR_RECUP,EDA_IGNO_RECUP,PROMEDIO_RECUP,EDMIN_RECUP,EDMAX_RECUP,Muestras,MUEST_NEW,DIA_COVID19,afec_posi,afec_recu,afec_fall,activos,nue_acti,muj_acti,hom_acti,adul_acti,am_acti,menor_acti,eda_igno_acti,edmin_acti,edmax_acti,promedio_acti,letalidad,por_recup,por_activ,transpor,HSJD_UCI,HSJD_SALON,CEACO_UCI,CEACO_SALON,HCG_UCI,HCG_SALON,HMEX_UCI,HMEX_SALON,HNN_UCI,HNN_SALON,HEB_UCI,HEB_SALON,HTF_UCI,HTF_SALON,HLA_UCI,HLA_SALON,HNPSI_UCI,HNPSI_SALON,HSRA_UCI,HSRA_SALON,HDGR_UCI,HDGR_SALON,HDSC_UCI,HDSC_SALON,HUP_UCI,HUP_SALON,HMT_UCI,HMT_SALON,HNEI_UCI,HNEI_SALON,HCHI_UCI ,HCHI_SALON,HMUJ_UCI,HMUJ_SALON,HTUR_UCI,HTUR_SALON,HGOL_UCI,HGOL_SALON,HFEP_UCI,HFEP_SALON,HOSA_UCI,HOSA_SALON,HCAR_UCI,HCAR_SALON,INS_UCI,INS_SALON,HGUA_UCI,HGUA_SALON,HCIMA_UCI,HCIMA_SALON,HBIB_UCI,HBIB_SALON,HRAM_UCI,HRAM_SALON,HMSAN_UCI,HMSAN_SALON,HNGG_UCI,HNGG_SALON,HSVP_UCI,HSVP_SALON,HCAT_UCI,HCAT_SALON,CEACOINS_UCI,CEACOINS_SALON,PAUT_UCI,PAUT_SALON
26/06/2020,2836,152,,,1253,1583,763,2073,0,2186,136,438,76,0,94,34.3,26866,535,12,0,3,9,26,87,65.2,5,7,0,36,7,30,7,6,0,43,78,58.6,1280,53,602,673,1067,57,145,11,35.1,0,92,38500,855,112,79,75,9,1544,99,648,896,1114,72,293,65,0,33,94,0.42,45.13,54.44,,2,3,0,22,3,1,1,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/06/2020,2979,143,,,1313,1666,793,2182,4,2326,140,442,71,0,94,34.3,27613,747,13,1,4,9,26,87,67.9,5,8,0,36,3,31,3,5,-1,43,61,57.2,1325,45,620,705,1102,60,152,11,35.2,0,92,39460,960,113,79,75,10,1641,97,689,952,1219,72,290,60,0,34.1,94,0.44,44.48,55.09,,2,4,0,23,2,1,1,2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/06/2020,3130,151,,,1371,1759,850,2280,0,2428,150,471,81,0,94,34.3,28205,592,15,2,6,9,26,87,67.8,6,9,0,37,4,34,4,3,-2,43,56,58.8,1366,41,637,729,1128,61,166,11,34.9,0,92,40319,859,114,79,75,12,1749,108,728,1021,1294,80,305,70,0,33.3,94,0.48,43.64,55.88,,1,6,0,24,2,1,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/06/2020,3269,139,,,1425,1844,899,2370,0,2546,159,481,83,0,94,34.4,28757,552,15,0,6,9,26,87,67.8,6,9,0,40,3,36,2,4,1,43,68,56.7,1394,28,646,748,1147,62,174,11,34.8,0,92,41077,758,115,79,75,12,1860,111,773,1087,1393,88,307,72,0,33.5,94,0.46,42.64,56.90,,1,7,0,26,2,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/06/2020,3459,190,,,1503,1956,966,2493,0,2697,167,512,83,0,94,34.4,29161,404,16,1,7,9,26,89,69.2,6,10,0,44,9,39,9,5,1,43,76,56.2,1436,42,663,773,1180,64,181,11,34.7,0,92,41680,603,116,79,75,12,2007,147,833,1174,1511,93,331,72,0,33.9,94,0.46,41.51,58.02,,2,5,0,30,2,1,1,2,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2020,3753,294,,,1624,2129,1085,2668,0,2942,182,540,89,0,96,34.5,29720,559,16,0,7,9,26,89,69.2,6,10,0,44,13,50,11,6,1,38,76,54.3,1516,80,698,818,1231,68,199,18,34.4,0,92,42589,909,117,79,76,12,2221,214,919,1302,1705,104,341,71,0,34.6,96,0.43,40.39,59.18,,1,8,0,39,3,0,2,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/07/2020,4023,270,,,1721,2302,1175,2848,0,3162,191,580,90,0,96,34.4,30709,989,17,1,8,9,26,89,69.2,6,11,0,60,10,54,10,6,0,38,76,53.5,1589,73,713,876,1262,68,210,49,34.2,0,92,43865,1276,118,79,76,12,2417,196,1000,1417,1894,112,370,41,0,34.3,96,0.42,39.50,60.08,,1,5,0,43,3,0,2,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/07/2020,4311,288,,,1846,2465,1250,3061,0,3398,207,616,90,0,96,34.5,31354,645,18,1,9,9,26,89,67.5,7,11,0,73,13,63,14,10,4,40,76,54.7,1657,68,752,905,1312,72,224,49,34.3,0,94,44917,1052,119,79,76,12,2636,219,1085,1551,2079,124,392,41,0,34.5,96,0.42,38.44,61.15,,3,4,0,52,5,3,2,1,0,0,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/07/2020,4621,310,,,1946,2675,1346,3275,0,3652,220,662,87,0,96,34.4,32042,688,18,0,9,9,26,89,67.5,7,11,0,73,10,63,10,10,0,40,76,55.1,1721,64,779,942,1356,75,241,49,34.3,0,94,45945,1028,120,79,77,12,2882,246,1158,1724,2289,134,421,38,0,34.3,96,0.39,37.24,62.37,,3,5,0,50,5,0,2,4,0,0,0,2,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/07/2020,4996,375,,,2116,2880,1453,3543,0,3946,233,730,87,0,96,34.3,32864,822,19,1,9,10,26,89,67.5,8,11,0,77,12,67,12,10,0,40,76,57.6,1745,24,792,953,1374,76,246,49,34.3,0,94,47160,1215,121,79,77,12,3232,350,1315,1917,2564,146,484,38,0,34.3,96,0.38,34.93,64.69,,3,8,0,52,5,1,2,4,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
